name,operator,lat,lon,state,city,county
Flexential Denver - Downtown,Flexential,39.7459702,-104.9941589,CO,Denver,
Flexential Dallas - Downtown Dallas,Flexential,32.8004101,-96.8193707,TX,Dallas,Dallas County
Flexential Jacksonville,Flexential,30.2457482,-81.5817226,FL,Jacksonville,Duval County
Flexential - Denver - Aurora,Flexential,39.6610488,-104.8488321,CO,Aurora,Arapahoe County
Flexential Nashville - Brentwood,Flexential,35.9727294,-86.8084949,TN,Brentwood,Williamson County
Flexential Raleigh,Flexential,35.8505281,-78.8291431,NC,Morrisville,Wake County
Flexential Tampa - West,Flexential,28.0372991,-82.5399781,FL,Tampa,Hillsborough County
Flexential Salt Lake City - Lindon,Flexential,40.332648,-111.7278754,UT,Lindon,Utah County
Digital Realty New York JFK13,Digital Realty,40.719928,-74.0044583,NY,New York,New York County
Digital Realty New York JFK12,Digital Realty,40.7176766,-74.0084414,NY,New York,New York County
CoreSite AT1,CoreSite,33.7559857,-84.3911712,GA,Atlanta,Fulton County
UNM Data Center,UNM,35.0867385,-106.6153476,NM,Albuquerque,Bernalillo County
Prime Santa Clara,Prime,37.3666621,-121.9628653,California,Santa Clara,Santa Clara County
Open Data Centers Piscataway,,40.5503501,-74.4568563,New Jersey,Piscataway Township,Middlesex County
H5 Secaucus,H5,40.7853948,-74.0750122,New Jersey,Secaucus,Hudson County
"Forescout Technologies, Inc.",,37.3228675,-121.9474176,CA,San Jose,Santa Clara County
Lumen Albany 4,Lumen Technologies,42.7356308,-73.818665,NY,Albany,Albany County
Equinix Chicago Data Center - CH1,Equinix,41.8535578,-87.6180475,IL,Chicago,Cook County
501 West,,40.315558,-74.6688514,NJ,Princeton,Mercer County
Dataverge,Dataverge,40.6576957,-74.0048163,NY,Brooklyn,Kings County
TulsaConnect DC3,,36.0994735,-95.8382826,Oklahoma,Tulsa,Tulsa
Comarch,,33.3566787,-111.6352356,AZ,Mesa,Maricopa County
CoreSite - LA2,CoreSite,34.0584789,-118.2359144,CA,Los Angeles,Los Angeles County
Equinix,Equinix,39.0137917,-77.4537977,Virginia,Sterling,Loudoun County
NTT Ashburn VA7 Data Center,NTT,39.0160142,-77.471954,VA,Ashburn,Loudoun County
NTT VA11 Data Center,NTT,38.7999731,-77.6099636,VA,Gainesville,Prince William County
Lumen Madison 1 Data Center,Lumen Technologies,43.0677161,-89.3922794,Wisconsin,Madison,Dane County
Fiberhub LAS1,Fiberhub,36.0659405,-115.1398835,NV,Las Vegas,Clark County
DāStor: 3400 Horizon Drive,,40.0879189,-75.3397205,PA,King of Prussia,Montgomery County
Rad Web Hosting,,32.7784469,-96.798496,TX,Dallas,Dallas County
Alpha Federal,Alpha Innovations,38.3531768,-81.6961822,WV,South Charleston,Kanawha County
Parsec Data Management,,45.7430786,-108.6030144,Montana,Billings,Yellowstone County
Applied Digital,,46.9741721,-96.8739403,ND,Harwood,Cass County
Cyxtera Dallas-Fort Worth Data Center,Cyxtera,32.832716,-97.0410241,Texas,Fort Worth,Tarrant County
Equinix Infomart,Equinix,32.8009535,-96.8195234,TX,Dallas,Dallas County
CoreSite BO1,,42.3767059,-71.0797577,MA,Somerville,Middlesex County
USPO Terminal Annex,United States Postal Service,34.0581039,-118.2353939,CA,Los Angeles,Los Angeles County
DataBank,,32.7783107,-96.7984357,TX,Dallas,Dallas County
CyrusOne Cincinnati-Mason CIN3,CyrusOne,39.3038941,-84.3116127,Ohio,,Warren County
LightEdge SAN1,,32.8278941,-117.1299275,CA,San Diego,San Diego County
EdgeConneX San Diego,EdgeConneX,32.8423554,-117.1694226,CA,San Diego,San Diego County
RagingWire CA2,NTT,38.6504002,-121.4919461,CA,Sacramento,Sacramento County
RagingWire CA1,NTT,38.6504319,-121.4891868,CA,Sacramento,Sacramento County
Hewlett-Packard,,34.0820578,-84.2672921,Georgia,Alpharetta,Fulton County
Equinix SV1,Equinix,37.2415975,-121.7833277,CA,San Jose,Santa Clara County
,,39.2940482,-84.4121132,Ohio,Cincinnati,Hamilton County
Lumen Sunnyvale 1,Lumen Technologies,37.3734695,-121.9878002,CA,Sunnyvale,Santa Clara County
OpenColo,,37.3788292,-121.9559257,CA,Santa Clara,Santa Clara County
Equinix Santa Clara SV2,Equinix,37.3784704,-121.9549839,CA,Santa Clara,Santa Clara County
Layer42 Santa Clara,Layer42,37.3780374,-121.9541277,California,Santa Clara,Santa Clara County
Digital Realty Silicon Valley SJC34,Digital Realty,37.3724077,-121.973647,California,Santa Clara,Santa Clara County
Csquare SFO1,Csquare,37.3714713,-121.9696826,CA,Santa Clara,Santa Clara County
,Vantage,37.3733075,-121.9727778,California,Santa Clara,Santa Clara County
Strategic Datasphere,,34.0948126,-84.2357244,GA,Alpharetta,Fulton County
Flexential Atlanta - Alpharetta Data Center,Flexential,34.0869874,-84.251824,GA,Alpharetta,Fulton County
Secure Data Center,,34.0937063,-84.250878,Georgia,Alpharetta,Fulton County
Cologix Santa Clara SV1 Data Center,Cologix,37.3654018,-121.9616726,California,Santa Clara,Santa Clara County
Netrality Data Centers,,38.6292617,-90.1971749,MO,Saint Louis,
,,44.9914423,-93.2803397,Minnesota,Minneapolis,Hennepin County
,,38.8034341,-77.5105821,Virginia,,Prince William County
Amazon IAD11,Amazon Web Services,38.7904948,-77.5411095,VA,Manassas,Prince William County
Amazon IAD24,Amazon Web Services,38.7903463,-77.5400098,VA,Manassas,Prince William County
Amazon IAD7,Amazon Web Services,38.7911993,-77.5382664,VA,Manassas,Prince William County
CyrusOne CIN2,CyrusOne,39.1026943,-84.5178996,OH,Cincinnati,Hamilton County
VA 4,Digital Realty,38.7780614,-77.594905,VA,Bristow,Prince William County
Amazon IAD10,Amazon Web Services,39.0216753,-77.4329728,VA,Sterling,Loudoun County
Amazon IAD32,Amazon Web Services,39.0215693,-77.4347944,VA,Sterling,Loudoun County
NTT RagingWire Data Center,NTT,45.5496803,-122.9373872,OR,Hillsboro,Washington County
Centersquare IAD1-B,Centersquare,39.0238679,-77.4152091,VA,Sterling,Loudoun County
Centersquare IAD1-A,Centersquare,39.0232978,-77.4132123,VA,Sterling,Loudoun County
Centersquare IAD1-C,Centersquare,39.024754,-77.4122043,VA,Sterling,Loudoun County
Flexential Minneapolis - Chaska,Flexential,44.8516116,-93.5988964,MN,Chaska,Carver County
Pearl Plaza Office Building,,39.7452303,-104.9793322,CO,Denver,
Csquare SFO2,Csquare,37.397572,-121.980963,CA,Santa Clara,Santa Clara County
Csquare SFO2,Csquare,37.3986381,-121.9811563,CA,Santa Clara,Santa Clara County
QTS Santa Clara 1,Quality Technology Services,37.3939862,-121.9783203,CA,Santa Clara,Santa Clara County
CoreSite SV3,CoreSite,37.3751575,-121.9717141,CA,Santa Clara,Santa Clara County
CoreSite SV6,CoreSite,37.3763019,-121.9720837,California,Santa Clara,Santa Clara County
CoreSite SV8,CoreSite,37.3773827,-121.97184,California,Santa Clara,Santa Clara County
CoreSite SV5,CoreSite,37.3751959,-121.9706889,California,Santa Clara,Santa Clara County
CoreSite SV9,CoreSite,37.3755551,-121.9696049,California,Santa Clara,Santa Clara County
QTS Santa Clara 2,Quality Technology Services,37.3927307,-121.9784277,CA,Santa Clara,Santa Clara County
STACK NVA01A - Northern Virginia,Stack Infrastructure,39.0046933,-77.4417399,Virginia,,Loudoun County
Minnesota Gateway Data Center,,44.9712882,-93.2546974,MN,Minneapolis,Hennepin County
IBM Building,,42.6493531,-73.7527453,NY,Albany,Albany County
,Verizon Wireless,42.3262876,-83.0769768,MI,Detroit,Wayne County
,University of New Hampshire,43.1436204,-70.9524471,NH,Durham,Strafford County
VA3,Digital Realty,38.9484941,-77.3273071,VA,Reston,Fairfax County
IAD1,Evocative,38.9488119,-77.3294144,VA,Reston,Fairfax County
CoreSite Reston Campus VA1,CoreSite,38.9506059,-77.3645496,VA,Reston,Fairfax County
CoreSite Reston VA3,CoreSite,38.9483343,-77.3724298,Virginia,Reston,Fairfax County
,FirstLight,43.0761287,-70.8080395,NH,Portsmouth,Rockingham County
Insurance Exchange Building,,39.745572,-104.9956909,CO,Denver,
Lincoln Rackhouse Maryland,Lincoln Rackhouse,39.0586081,-76.964467,MD,Silver Spring,Montgomery County
CyrusOne Cincinnati-Lebanon,,39.3889702,-84.2218527,Ohio,Lebanon,Warren County
Equinix NY7 Data Center,Equinix,40.7968626,-74.0311403,NJ,North Bergen,Hudson County
Equinix SV4,Equinix,37.4145109,-122.0145563,CA,Sunnyvale,Santa Clara County
H5 Data Centers San Antonio,H5 Data Centers,29.4293706,-98.4869057,TX,San Antonio,Bexar County
Aureon,,41.5879926,-93.6310139,IA,Des Moines,Polk County
,,35.5881079,-81.2625753,North Carolina,Maiden,Catawba County
Digital Realty New York HVN10,Digital Realty,41.2407307,-73.1472668,CT,Trumbull,Greater Bridgeport Planning Region
Lincoln Rackhouse,,41.7721034,-88.2170821,Illinois,Aurora,DuPage County
Digital Realty CH1,Digital Realty,41.9942413,-87.961935,IL,Elk Grove Village,Cook County
H5 Minneapolis,H5,44.972195,-93.1474731,MN,Saint Paul,Ramsey County
Iron Mountain Records Storage,,33.42038,-112.0413257,AZ,Phoenix,Maricopa County
Equinix SV8,Equinix,37.4458951,-122.160786,CA,Palo Alto,Santa Clara County
NCSA Petascale Computing Facility,,40.0952591,-88.2420314,IL,Champaign,Champaign County
LexisNexus Springfield,,39.912797,-83.7236638,Ohio,Springfield,Clark County
Digital Realty ORD11,Digital Realty,41.8743036,-87.6299404,IL,Chicago,Cook County
Lumen,Lumen Technologies,33.494309,-112.0707916,AZ,Phoenix,Maricopa County
L3Harris Technologies Inc,,33.3053366,-111.6716904,Arizona,Mesa,Maricopa County
AZ Labs,,33.3062801,-111.6717217,Arizona,Mesa,Maricopa County
Serverfarm CH1,Serverfarm,41.8709439,-87.6401413,IL,Chicago,Cook County
Aligned Energy Data Center,,33.6590546,-112.1111595,AZ,Phoenix,Maricopa County
,,38.913702,-77.2258342,Virginia,Tysons,Fairfax County
Lakeside Technology Center,,41.8536916,-87.6182716,IL,Chicago,Cook County
Flexential Phoenix - Deer Valley,Flexential,33.6846775,-112.0983398,AZ,Phoenix,Maricopa County
Equinix SV5,Equinix,37.2420719,-121.7817852,CA,San Jose,Santa Clara County
"Union Pacific Jack Koraleski Technology, Research & Development Center",Union Pacific Railroad,41.3179864,-96.0503485,NE,Omaha,Douglas County
DataBank Pittsburgh PIT2,,40.4513704,-80.1901663,PA,Pittsburgh,Allegheny County
Molina Healthcare,,34.9954515,-106.6180334,NM,Albuquerque,Bernalillo County
Switch12,Switch,36.0617389,-115.2132922,Nevada,Enterprise,Clark County
Switch Las Vegas 7,Switch,36.0599191,-115.210197,NV,Enterprise,Clark County
EdgeConneX CHI01,EdgeConneX,42.0007751,-87.9507686,IL,Elk Grove Village,Cook County
,,39.3777781,-77.4115448,Maryland,Ballenger Creek,Frederick County
Verizon Wireline Network Building,,40.4949031,-74.4430949,New Jersey,New Brunswick,Middlesex County
RagingWire CA3,NTT,38.6442393,-121.4987627,CA,Sacramento,Sacramento County
,,41.2214856,-95.863822,Iowa,Council Bluffs,Pottawattamie County
360 Spear Street Data Center,Digital Realty,37.7889916,-122.3901367,CA,San Francisco,
Equinix New York Secaucus NY5,Equinix,40.7785845,-74.0723242,NJ,Secaucus,Hudson County
Equinix New York Secaucus NY4,Equinix,40.7764281,-74.0697759,NJ,Secaucus,Hudson County
Equinix NY3,Equinix,40.7749028,-74.0689687,NJ,Secaucus,Hudson County
Equinix New York Secaucus NY2,Equinix,40.7772907,-74.0759403,NJ,Secaucus,Hudson County
Centersquare NYC3 Data Center,Centersquare,40.786164,-74.0691645,NJ,Secaucus,Hudson County
QTS Sacramento,Quality Technology Services,38.6463763,-121.4862686,CA,Sacramento,Sacramento County
,,39.2906383,-94.6759163,Missouri,Kansas City,Platte County
,,39.2955554,-94.6734862,Missouri,Kansas City,Platte County
Black Rock Financial Management,,39.2954814,-94.6780114,MO,Kansas City,Platte County
,,39.3024057,-94.6847918,Missouri,Kansas City,Platte County
Cherokee Data Center,,36.2625496,-95.9100413,OK,Tulsa,Tulsa
CyrusOne Chicago Aurora CME,CyrusOne,41.7966077,-88.2438232,IL,Aurora,DuPage County
Xfinity/Comcast Data Center,,39.5883237,-104.8324181,CO,Centennial,Arapahoe County
IU Data Center,Indiana University,39.1744228,-86.5006878,IN,Bloomington,Monroe County
IO Datacenter,,40.5208169,-74.3472226,NJ,Edison,Middlesex County
DataBank Piscataway EWR2,,40.5492135,-74.4582096,New Jersey,Piscataway Township,Middlesex County
Optimum,,40.5468425,-74.4920459,New Jersey,Piscataway Township,Middlesex County
Equinix,Equinix,40.5449197,-74.4953594,New Jersey,Piscataway Township,Middlesex County
Barclays Datacenter,Barclays,40.5472443,-74.4597373,New Jersey,Piscataway Township,Middlesex County
Digital Realty New York EWR12,Digital Realty,40.5529283,-74.4592038,NJ,Piscataway Township,Middlesex County
Digital Realty New York EWR11,Digital Realty,40.5537931,-74.4571024,NJ,Piscataway Township,Middlesex County
Intergate Seattle East Building 2,,47.4950309,-122.2905696,WA,Tukwila,King County
Intergate Seattle East Building 1,Sabey,47.4948597,-122.2881943,Washington,Tukwila,King County
Equinix SV15,Equinix,37.3754952,-121.9884063,CA,Santa Clara,Santa Clara County
Equinix SV16,Equinix,37.3761243,-121.9886718,CA,Santa Clara,Santa Clara County
Equinix SV17,Equinix,37.3765309,-121.9885825,CA,Santa Clara,Santa Clara County
Equinix SV14,Equinix,37.3749843,-121.9884742,CA,Santa Clara,Santa Clara County
CoreSite SV4,CoreSite,37.3762614,-121.9706851,California,Santa Clara,Santa Clara County
Lumen Santa Clara,Lumen Technologies,37.3770332,-121.952059,California,Santa Clara,Santa Clara County
Prime Santa Clara,Prime,37.3750172,-121.9532497,California,Santa Clara,Santa Clara County
Digital Realty Silicon Valley SJC10,Digital Realty,37.375822,-121.9533359,CA,Santa Clara,Santa Clara County
Colovore,,37.3767228,-121.9531439,California,Santa Clara,Santa Clara County
Digital Realty Silicon Valley SJC30,Digital Realty,37.3782874,-121.9581107,California,Santa Clara,Santa Clara County
Digital Realty Silicon Valley SJC15,Digital Realty,37.3749966,-121.9540769,California,Santa Clara,Santa Clara County
Digital Realty Silicon Valley SJC16,Digital Realty,37.3749324,-121.9559987,CA,Santa Clara,Santa Clara County
Digital Realty Silicon Valley SJC29,Digital Realty,37.3750232,-121.9580962,CA,Santa Clara,Santa Clara County
Csquare SFO4,Csquare,37.3757986,-121.9551844,CA,Santa Clara,Santa Clara County
Prime SANTA CLARA DATA CENTER,Prime,37.3750292,-121.9548775,California,Santa Clara,Santa Clara County
Digital Realty Silicon Valley SJC11,Digital Realty,37.3763668,-121.9485649,CA,Santa Clara,Santa Clara County
Lumen,Lumen Technologies,37.3775848,-121.9506821,California,Santa Clara,Santa Clara County
Silicon Valley SJC31,Digital Realty,37.3722213,-121.9482625,CA,Santa Clara,Santa Clara County
,,37.3797897,-121.9499034,CA,Santa Clara,Santa Clara County
Evocative Santa Clara SJC11,,37.3895364,-121.9619398,California,Santa Clara,Santa Clara County
QTS Chicago,Quality Technology Services,41.84219,-87.6689434,IL,Chicago,Cook County
Iron Mountain Data & Record Storage,Iron Mountain,41.8487049,-87.6454577,IL,Chicago,Cook County
Data Storage Centers,,33.4216928,-112.0343031,AZ,Phoenix,Maricopa County
,TierPoint,42.6857078,-71.2086024,MA,Andover,Essex County
Markley Data Center,Markley Group,42.6302832,-71.3045615,Massachusetts,Lowell,Middlesex County
Flexential Charlotte - South,Flexential,35.1354147,-80.9368313,NC,Charlotte,Mecklenburg County
Digital Realty Data Center,Digital Realty,33.3446197,-111.8992189,AZ,Tempe,Maricopa County
,Comcast,47.6933236,-122.3173172,Washington,Seattle,King County
Equinix DC97,,38.9615728,-77.3774178,Virginia,Herndon,Fairfax County
Amazon IAD-55,Amazon Web Services,38.815021,-77.64868,VA,Haymarket,Prince William County
CTI Biopharma,,47.6177873,-122.356694,WA,Seattle,King County
Westin Building,Digital Realty,47.6143555,-122.3388637,WA,Seattle,King County
COPT Data Center,,38.7473099,-77.5318265,VA,Manassas,Prince William County
Dell 350 Holger Way,,37.418381,-121.9431173,California,San Jose,Santa Clara County
SV Colo,SV Colo,37.3642804,-121.9587878,CA,Santa Clara,Santa Clara County
Microsoft,Microsoft,37.3621026,-121.9464586,CA,Santa Clara,Santa Clara County
OVH US East Vint Hill,,38.7474201,-77.6744649,Virginia,,Fauquier County
NCAR-Wyoming Supercomputing Center,University Corporation for Atmospheric Research,41.1287467,-104.8974315,WY,Cheyenne,Laramie County
The Seattle Times,H5 Data Centers,47.6189539,-122.3365314,WA,Seattle,King County
Google Data Center The Dalles Oregon,Google,45.6320147,-121.2012021,Oregon,The Dalles,Wasco County
Segra Data Center,,35.7249921,-78.6623632,NC,Raleigh,Wake County
Equinix Ashburn DC2,Equinix,39.0163894,-77.4590691,VA,Ashburn,Loudoun County
H5 Data Centers Ashburn,H5,39.0136782,-77.4517194,VA,Ashburn,Loudoun County
TierPoint Sioux Falls West Data Center,,43.6069708,-96.8091949,SD,Sioux Falls,Minnehaha County
Lumen McLean,Lumen Technologies,38.9200207,-77.2116187,VA,McLean,Fairfax County
DataBank McLean IAD2,DataBank,38.9199052,-77.213585,VA,McLean,Fairfax County
eBay,,40.563602,-112.0478049,Utah,South Jordan,Salt Lake County
Equinix Chicago Data CH7,Equinix,41.8125627,-87.9728504,Illinois,Westmont,DuPage County
PhoenixNAP,,33.416077,-112.0094718,AZ,Phoenix,Maricopa County
Merrill Lynch Data Center,Merrill Lynch,40.6073795,-74.1731669,New York,New York,
Telehouse Teleport,Telehouse,40.6070367,-74.1749048,NY,New York City,
32 Avenue of the Americas,,40.719994,-74.0045683,New York,New York,New York County
Digital Realty,Digital Realty,38.9101164,-77.4725921,Virginia,Reston,Fairfax County
Greenidge Power Plant and Data Center,Greenidge Generation Holdings Inc.,42.6793587,-76.9485811,New York,,Yates County
TierPoint,,38.6297601,-90.1964208,MO,Saint Louis,
Verizon,,36.1447332,-115.0779284,Nevada,,Clark County
,,29.4466626,-98.6405797,Texas,San Antonio,Bexar County
,,29.4478888,-98.6411006,Texas,San Antonio,Bexar County
,,29.4472024,-98.6409962,Texas,San Antonio,Bexar County
CenturyLink,Lumen Technologies,36.1437196,-115.0833851,Nevada,,Clark County
,,33.096018,-96.6815422,TX,Allen,Collin County
Evoque Allen DA1,Centersquare,33.095083,-96.6837876,TX,Allen,Collin County
,,41.2614219,-95.9364982,Nebraska,Omaha,Douglas County
Flexential - Richmond,Flexential,37.6468902,-77.4386952,VA,Richmond,Henrico County
Amazon IAD-9,Amazon Web Services,38.8997236,-77.4534439,VA,Chantilly,Fairfax County
Amazon IAD22,Amazon Web Services,38.8979047,-77.4551032,Virginia,Chantilly,Fairfax County
Amazon IAD-1,Amazon Web Services,38.8978637,-77.4540825,VA,Chantilly,Fairfax County
,,38.9092366,-77.4722656,Virginia,Reston,Fairfax County
,,38.9097961,-77.4734544,Virginia,Chantilly,Fairfax County
,,38.750815,-77.1962716,Virginia,Newington,Fairfax County
Cox Data Center,,34.0362568,-84.3195121,Georgia,Roswell,Fulton County
QTS Atlanta Data Center 1,Quality Technology Services,33.7776897,-84.4211544,GA,Atlanta,Fulton County
Csquare SFO3,Csquare,37.3720542,-121.9860407,CA,Sunnyvale,Santa Clara County
Centersquare IAD3,Centersquare,38.9809293,-77.4443786,VA,Dulles,Loudoun County
Centersquare IAD2-A,Centersquare,38.9844198,-77.4238096,VA,Sterling,Loudoun County
,CyrusOne,38.9848664,-77.4256702,Virginia,Sterling,Loudoun County
Centersquare IAD2-B,Centersquare,38.9836138,-77.4240848,VA,Sterling,Loudoun County
Digital Realty Data Center,Digital Realty,33.6570094,-84.4152195,Georgia,Atlanta,Fulton County
Cyxtera (Digital Realty Trust) Citibank Data Center,Cyxtera,40.7607798,-74.0257417,NJ,Weehawken,Hudson County
Digital Realty New Jersey EWR10,Digital Realty,40.7618178,-74.0250281,NJ,Weehawken,Hudson County
,,47.2462099,-119.8132256,Washington,Quincy,Grant County
,,47.2476512,-119.8131864,Washington,Quincy,Grant County
,,47.246168,-119.815756,Washington,Quincy,Grant County
Intergate Quincy Data Center,Sabey Data Centers,47.2453673,-119.8160897,Washington,Quincy,Grant County
H5 Data Center,Intuit,47.2515867,-119.8188048,Washington,Quincy,Grant County
,,47.2525738,-119.8196649,Washington,Quincy,Grant County
Yahoo Data Center,Yahoo,47.2467611,-119.8266159,Washington,Quincy,Grant County
,,47.2467356,-119.8288659,Washington,Quincy,Grant County
,,47.2459914,-119.8297912,Washington,Quincy,Grant County
,,47.2459894,-119.8291703,Washington,Quincy,Grant County
,,47.2459893,-119.8281588,Washington,Quincy,Grant County
,,47.2460033,-119.8275415,Washington,Quincy,Grant County
,,47.2460663,-119.8286631,Washington,Quincy,Grant County
CoreSite AT2 - Marietta Data Center,CoreSite,33.9255145,-84.4816338,Georgia,Marietta,Cobb County
,,39.2901345,-94.6850641,MO,Kansas City,Platte County
Digital Realty San Francisco SFO10,Digital Realty,37.7236272,-122.3979543,CA,San Francisco,
33 Thomas Street,,40.7165207,-74.0059017,NY,New York,New York County
VentureData,,43.8252286,-111.7820703,ID,Rexburg,Madison County
Cogent Data Center,"Cogent Communications, Inc.",33.4002195,-112.0478786,AZ,Phoenix,Maricopa County
CoreSpace Dallas,CoreSpace,32.8175508,-96.873071,TX,Dallas,Dallas County
,,39.5901315,-104.8469632,CO,Centennial,Arapahoe County
